collection,collection,TF-applicability,TF-note
DataverseNO Dataverse OAI Archive: trolling,The Tromsø Repository of Language and Linguistics (TROLLing),,
92068_Ag_Slovenia_ETravel,EuropeanaTravel: The Digital Library of Slovenia,,
08804_Ag_EU_ETravel_DebBooks,EuropeanaTravel: University of Debrecen Electronic Archive,,
0940429_Ag_PL_www.bibliotekacyfrowa.pl,Europeana: Digital Library of University of Wroclaw,,
0940431_Ag_PL_rcin.org.pl,Europeana: RCIN,,
0940433_Ag_PL_mbc.malopolska.pl,Europeana: Malopolska Digital Library,,
0940442_Ag_PL_bibliotekacyfrowa.eu,Europeana: Baltic Digital Library,,
15416_L_IE_IMC_oireachtas,Europeana: The Oireachtas Library & Research Service,,
92004_NL_Manuscriptorium_CZ,Europeana: Manuscriptorium,,
9200394_Ag_Slovenia_Laibacher_Zeitung,Europeana: Laibacher Zeitung,,
92054_Ag_Slovenia_Dom_in_svet,Europeana: Dom in svet,,
92055_Ag_Slovenia_Ljubljanski_zvon,Europeana: Ljubljanski zvon,,
9200498_Ag_BnF_occitanica,Europeana: BnF Occitanica,,
9200452_UL_Old_Rare_Books_Lucian_Blaga,Europeana: Old Rare Books Lucian Blaga,,
9200453_UL_Manuscripts_Lucian_Blaga,Europeana: Manuscripts Lucian Blaga,,
9200470_UL_Periodicals_Lucian_Blaga,Europeana: Periodicals Lucian Blaga,,
2020127_Ag_SI_Nat.EContentAgg_Books,Europeana: National and University Library of Slovenia - Books,,
2022410_Ag_RO_Elocal_documen1,Europeana: Biblioteca Judeţeană "Alexandru şi Aristia Aman" din Craiova,,
