ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
",","","","",1,1,"DoBeS archive : Bakola |1|"
"-","","","",52,3,"DoBeS archive : Chintang and Puma Documentation Project |1| # DoBeS archive : Hoocąk |1| # DoBeS archive : Kyanga Shanga |50|"
"ACLC-University of Amsterdam","","","",3,1,"Fesli |3|"
"AND Publishing Technology B.V.","","","",1,1,"INT |1|"
"ANU","","","",1,1,"Donated Corpora : Dalabon Corpus |1|"
"ASPIRH, Tarauacá","","","",8,1,"DoBeS archive : Cashinahua project |8|"
"Aalto University","","","",9,0,""
"Aarhus Universitet, Det Naturvidenskabelige Fakultet","","","",5,1,"CLARIN-DK-UCPH Repository |5|"
"Abteilung Allgemeine Sprachwissenschaft, Institut für Linguistik","","","",74,1,"DoBeS archive : CELD Papua |74|"
"Abteilung für Germanistik am Linguistikinstitut der Rumänischen Akademie","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Abu-MaTran project","","","",1,1,"CLARIN.SI data & tools |1|"
"Academia","","","",2,1,"LINDAT / CLARIN Data & Tools |2|"
"Academy of Sciences at Goettingen, Germany","","","",1,1,"DoBeS archive : Tangsa, Tai, Singpho in North East India |1|"
"Académie Marquisienne (Tuhuna 'Eo 'Enata)","","","",81,1,"DoBeS archive : Marquesan team |81|"
"Académie marquisienne (Tuhuna 'Eo Enata)","","","",135,1,"DoBeS archive : Marquesan team |135|"
"Addis Ababa University","","","",51,1,"DoBeS archive : Bayso and Haro |51|"
"Addis Ababa University Department of Linguistics","","","",5,1,"DoBeS archive : Bayso and Haro |5|"
"Addis Ababa University Department of Linguistics P.O.Box 1176 Addis Ababa Ethiopia","","","",10,1,"DoBeS archive : Bayso and Haro |10|"
"Addis Ababa University, Department of Social Anthropology, P.O.Box","","","",8,1,"DoBeS archive : Bayso and Haro |8|"
"Addis Ababa University, Dept. for Sociology and Social Anthropology","","","",6,1,"DoBeS archive : Bayso and Haro |6|"
"African Christian Mission Amedzofe","","","",15,1,"MPI corpora : Language and Cognition : africa : Avatime : Shared |15|"
"Age: 50+","","","",1,1,"DoBeS archive : Semoq Beri and Batek |1|"
"Albert-LUdwigs-Universität Freiburg i.Br.","","","",4,1,"DoBeS archive : Kola Saami Documentation Project |4|"
"Albert-Ludwigs-Universität Freiburg","","","",7,1,"DoBeS archive : Kola Saami Documentation Project |7|"
"Albert-Ludwigs-Universität Freiburg i.Br.","","","",60,3,"DoBeS archive : Kola Saami Documentation Project |50| # Donated Corpora : Gammölsvänsk |7| # Donated Corpora : Pan-Saami Language Archive |3|"
"Aller Media Oy","","","",3,0,""
"Allgemeine Sprachwissenschaft, Universität Köln","","","",469,2,"DoBeS archive : CELD Papua |197| # DoBeS archive : Totoli |272|"
"Allgemeine Sprachwissenschaft, Universität zu Köln","","","",64,1,"DoBeS archive : CELD Papua |64|"
"Amebis, d. o. o., Kamnik","","","",2,1,"CLARIN.SI data & tools |2|"
"American Center of Oriental Research","","","",1,0,""
"Amsterdam Centre for Language and Communication, University of Amsterdam","","","",435,1,"TLA: IPROSLA sign language acquisition |435|"
"Andrews University Berrien Springs, Michigan","","","",1,0,""
"Antwerp University Hospital (UZA)","","","",1,1,"INT |1|"
"Apotheke","","","",7,1,"AGD |7|"
"Arbeitsagentur","","","",2,1,"AGD |2|"
"Archivio Storico Civico e Biblioteca Trivulziana","","","",1,0,""
"Arctic Centre, University of Lapland","","","",1,1,"DoBeS archive : Kola Saami Documentation Project |1|"
"Arla","","","",4,1,"CLARIN-DK-UCPH Repository |4|"
"Artsdatabanken","","","",1,1,"CLARINO Bergen Centre |1|"
"Arztpraxis","","","",1,1,"AGD |1|"
"Aschehoug","","","",1,1,"CLARINO Bergen Centre |1|"
"Aschehoug Publishing House","","","",3,2,"Clarino Bergen Centre - INESS |2| # Clarino UiB |1|"
"Aschehoug forlag","","","",3,2,"Clarino Bergen Centre - INESS |2| # Clarino UiB |1|"
"Association culturelle Te Reo o te Tuamotu","","","",180,1,"DoBeS archive : Marquesan team |180|"
"Aston University Birmingham : Department of German Studies, Department of English Studies","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"Australian National University","","","",450,3,"DoBeS archive : Morehead |411| # Donated Corpora : Dalabon Corpus |13| # MPI EVA corpora : Jakarta Field Station |25|"
"Austrian Academy of Sciences","","","",6,2,"ARCHE |1| # Dictionary Gate |5|"
"Austrian Centre for Digital Humanities","","","",1,1,"ARCHE |1|"
"BBC","","","",1,1,"Sign Language : ECHO - Sign Language |1|"
"Bavarian Archive for Speech Signals","","","",4,1,"Bavarian Archive for Speech Signals (BAS) |4|"
"Bavarian Archive for Speech Signals, Ludwig-Maximilians-Universitaet Muenchen","","","",4,1,"Bavarian Archive for Speech Signals (BAS) |4|"
"Bavarian Archive for Speech Signals, Ludwig-Maximilians-Universität München","","","",37,1,"Bavarian Archive for Speech Signals (BAS) |37|"
"Bavarian Archive for Speech Signals, Munich, Germany","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Behrang-QasemiZadeh","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Bellmanssällskapet","","","",1,1,"Språkbanken |1|"
"Beredskabsstyrelsen","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Bergen municipality","","","",1,1,"CLARINO Bergen Centre |1|"
"Bergische Universität Wuppertal","","","",5,1,"HZSK: SFB 632 |5|"
"Berlin-Brandenburg Academy of Sciences and Humanities","","","",5,4,"Digitales Wörterbuch der deutschen Sprache (DWDS) |1| # Dingler Online |1| # Dortmunder Chatkorpus 2.0 (Kernkorpus) |1|"
"Berlin-Brandenburg Academy of Sciences and Humanities (BBAW)","","","",111,2,"Deutsches Textarchiv (1600–1900) |3| # Referenzkorpus Mittelhochdeutsch (1050–1350) |108|"
"Berlin-Brandenburgische Akademie der Wissenschaften (BBAW)","","","",112,3,"Deutsches Textarchiv (1600–1900) |3| # Dingler Online |1| # Referenzkorpus Mittelhochdeutsch (1050–1350) |108|"
"Berufsbildende Schule","","","",13,1,"AGD |13|"
"Biblioteca Bertoliana","","","",1,0,""
