"RESOURCECLASS","RESOURCECLASS"
"-- Germany","!"
"<other>",""
"Academic dissertations","text"
"Acceptability judgments",""
"Addresses","text"
"AddressesAnthologiesLinguistic corpora","text;corpus"
"Aikataulut","text"
"Alter Druck","text"
"Amateurfilm","video"
"Analytic","dataset"
"Analytic serial","dataset"
"Ancient religious texts","text"
"Annals","text;collection"
"AnnotatedTextCorpus","text;annotation;corpus"
"Annotation: Affixes","annotation"
"Annotation: Chinese_glosses","annotation"
"Annotation: English_glosses","annotation"
"Anthologies","text;collection"
"AnthologiesDevotional literature","text"
"AnthologiesLinguistic corpora","text;corpus"
"Anthology","text"
"Applications",""
"Archives sonores","audio"
"Argumentation","text"
"Artikkelit","text"
"Audio","audio"
"Audio recordings ",""
"Audiovisual",""
"Autobiographies","text"
"Autograph","text"
"Ballad operas","text"
"Bavardage","session;audio"
"Bible storiesLinguistic corpora","text;corpus"
"Bibles","text"
"Bibliographies","text"
"Bilingual","!"
"BilingualDictionary","lexicalResource"
"Biographies","text"
"Bioscoop","video"
"Boek","text"
"Boeken","text"
"Book","text"
"Buddhism","!"
"Catalogues","text"
"Catechisms","text"
"Chanson","audio;text"
"Chansons","audio;text"
"Charter","text"
"Chronicals","text"
"Chronicles","text"
"Collection","collection"
"Comedies","text"
"Commentaries","text"
"Commentaries -- Italy -- 17th century","text"
"CommentariesGazetteers","text"
"Comparable","!"
"Confessions","text"
"Congrès et conférences","!"
"Constitutions","text"
"Conte","audio"
"Conte, entretien","audio"
"Conte, récit d'expériences vécues","audio"
"Conte, récit d'expériences vécues, entretien","audio"
"Contes","audio"
"Conversation","session;audio"
"Conversion narratives","text"
"Corpus","corpus"
"Corpus data",""
"Corpus of Proceedings of the European Parliament",""
"Correspondence","text"
"Courtesy books","text"
"Data",""
"Data Provider","!"
"Database","database"
"Databases","database"
"Dataset","dataset"
"Devinettes et énigmes","audio"
"Devotional literature","text"
"Devotional material","text"
"DFG","!"
"DFG ; Eigenprojekt","!"
"Diachronic Corpus","corpus"
"Dialogue","session"
"Dialogues","text"
"Diaries","text"
"Dictionaries","lexicalResource"
"Discours","session"
"Discours vernaculaire","session"
"Discussion","session"
"Document","text"
"Early book","text"
"Early printed book (1501-1800)","text"
"Economics","!"
"Eigenprojekt","!"
"Eigenprojekt ; gefördert von Ministerium für Kinder, Familie und Soziales Rheinland-Pfalz","!"
"Electronic publications","text"
"Electronic publications -- Great Britain -- 20th century","text"
"Electronic publications -- Indonesia -- 20th century","text"
"Electronic publications -- Japan -- 20th centuryDatabases -- Japan -- 20th century","text"
"Electronic publications -- United States -- 20th century","text"
"English drama -- Restoration, 1660-1700","text"
"English literature -- Middle English, 1100-1500","text"
"Enquêtes linguistiques","session"
"Entretien","session"
"Entretien,","session"
"Entretien, conte","session"
"Entretien, interaction entre pairs","session"
"Entretien, récit d'expériences vécues","session"
"Entretien, récit d'expériences vécues, conte","session"
"Entretiens","session"
"Epics","text"
"Esitteet","text"
"Essays","text"
"Ethics","text"
"Etiquette books","text"
"Event",""
"Experiment",""
"Experimental",""
"Experimental Data","dataset"
"Experimental data (psycholinguistic)",""
"Exploration literature","text"
"Fables",""
"Fairy tales","text"
"Fairy talesAnthologies",""
"Fiction",""
"Field Notes","dataset"
"Fieldwork",""
"Fieldwork Material",""
"Folk tales",""
"FolkloreAnthologies",""
"Formularies",""
"Fotografije",""
"Fragment",""
"Games",""
"Gazeta",""
"Gedruckte Periodika",""
"GEI-contributions",""
"Genealogies",""
"Geometry",""
"Gesta",""
"Grammar",""
"grammar",""
"Grammars",""
"GrammarsAnthologies",""
"Hakemistot",""
"Handbooks",""
"Herbals -- England -- 17th century",""
"Historical corpus data",""
"Historical fiction",""
